GENEID,M,BS,V,cluster
LOC_Os01g56730,0.937973421,0.114240858,-1.052214279,CM
LOC_Os01g57270,1.13939497,-0.73197603,-0.40741894,CM
LOC_Os01g57720,1.083523547,-0.196099306,-0.887424242,CM
LOC_Os01g58020,0.935080946,0.119160233,-1.054241179,CM
LOC_Os01g58470,1.083206556,-0.195196482,-0.888010074,CM
LOC_Os01g59090,0.928151463,0.13082018,-1.058971644,CM
LOC_Os01g60040,1.106210295,-0.266357721,-0.839852574,CM
LOC_Os01g60780,1.12102101,-0.320752458,-0.800268552,CM
LOC_Os01g61410,1.05031273,-0.109665839,-0.940646891,CM
LOC_Os01g63410,0.997472468,0.005036043,-1.002508511,CM
LOC_Os01g63810,0.956372842,0.082182422,-1.038555264,CM
LOC_Os01g64660,1.079031187,-0.183469568,-0.89556162,CM
LOC_Os01g65080,1.145559114,-0.447197964,-0.698361151,CM
LOC_Os01g65900,1.068800794,-0.155918366,-0.912882427,CM
LOC_Os01g66150,0.944876332,0.102371836,-1.047248168,CM
LOC_Os01g67000,1.050304664,-0.109646514,-0.94065815,CM
LOC_Os01g67630,1.154649113,-0.56788694,-0.586762174,CM
LOC_Os01g68860,1.14377851,-0.434673952,-0.709104559,CM
LOC_Os01g69120,1.126315772,-0.342795489,-0.783520283,CM
LOC_Os01g70520,0.97179857,0.054198535,-1.025997104,CM
LOC_Os01g71720,0.944094743,0.103725011,-1.047819754,CM
LOC_Os01g73070,1.154599152,-0.564048204,-0.590550948,CM
LOC_Os01g73540,0.983224982,0.032745666,-1.015970647,CM
LOC_Os01g74640,1.125593728,-0.7859091,-0.339684627,CM
LOC_Os02g01380,1.142600874,-0.426914038,-0.715686836,CM
LOC_Os02g01440,1.037684793,-0.080199373,-0.95748542,CM
LOC_Os02g02980,0.933554918,0.121743068,-1.055297986,CM
LOC_Os02g03230,0.985829829,0.027762203,-1.013592032,CM
LOC_Os02g03250,0.935966865,0.117656833,-1.053623698,CM
LOC_Os02g05630,1.154699228,-0.57584281,-0.578856417,CM
LOC_Os02g05920,1.130502227,-0.361600588,-0.768901639,CM
LOC_Os02g07350,1.10284257,-0.255104394,-0.847738175,CM
LOC_Os02g08260,1.085865854,-0.202827781,-0.883038073,CM
LOC_Os02g09340,0.963115366,0.070082231,-1.033197596,CM
LOC_Os02g09940,1.003761269,-0.007565466,-0.996195803,CM
LOC_Os02g12760,1.019159613,-0.039489111,-0.979670502,CM
LOC_Os02g14440,0.978362074,0.041955234,-1.020317309,CM
LOC_Os02g15900,1.005908506,-0.011923645,-0.993984861,CM
LOC_Os02g17534,1.066807846,-0.150728126,-0.916079719,CM
LOC_Os02g19924,1.078551527,-0.182141402,-0.896410125,CM
LOC_Os02g21009,0.930783565,0.126411788,-1.057195353,CM
LOC_Os02g21430,0.950959514,0.091756528,-1.042716042,CM
LOC_Os02g24574,1.07263144,-0.166050484,-0.906580956,CM
LOC_Os02g24598,0.996126494,0.007702515,-1.003829009,CM
LOC_Os02g26700,1.100806199,-0.248460581,-0.852345618,CM
LOC_Os02g26860,1.077376708,-0.178904293,-0.898472416,CM
LOC_Os02g29550,0.970718963,0.056192474,-1.026911437,CM
LOC_Os02g32780,1.000471477,-0.000943622,-0.999527855,CM
LOC_Os02g32990,1.04006939,-0.085648061,-0.954421329,CM
LOC_Os02g35170,0.994177408,0.011545212,-1.00572262,CM
LOC_Os02g35500,1.098470485,-0.240978945,-0.85749154,CM
LOC_Os02g36380,1.148364256,-0.469565442,-0.678798815,CM
LOC_Os02g36450,1.144266593,-0.438004727,-0.706261866,CM
LOC_Os02g37856,1.132821088,-0.760155964,-0.372665124,CM
LOC_Os02g38240,1.142388582,-0.425553481,-0.716835101,CM
LOC_Os02g39330,1.154617297,-0.565301467,-0.58931583,CM
LOC_Os02g39360,0.95656031,0.081848651,-1.038408961,CM
LOC_Os02g39600,1.004072582,-0.008195539,-0.995877043,CM
LOC_Os02g39710,0.927759238,0.131474979,-1.059234217,CM
LOC_Os02g39730,1.043044942,-0.092520214,-0.950524728,CM
LOC_Os02g39970,0.936350574,0.117004773,-1.053355347,CM
LOC_Os02g40454,0.973893228,0.050314017,-1.024207245,CM
LOC_Os02g42920,1.081230846,-0.189609876,-0.891620969,CM
LOC_Os02g43340,1.050268645,-0.109560226,-0.940708419,CM
LOC_Os02g43350,0.98531009,0.028759397,-1.014069487,CM
LOC_Os02g43500,1.104043065,-0.259076686,-0.844966379,CM
LOC_Os02g43600,1.114731637,-0.296540144,-0.818191493,CM
LOC_Os02g43710,1.145486129,-0.446663146,-0.698822983,CM
LOC_Os02g43830,1.005969282,-0.012047423,-0.993921859,CM
LOC_Os02g44270,1.138298423,-0.737100174,-0.401198248,CM
LOC_Os02g44520,1.154128858,-0.608527662,-0.545601196,CM
LOC_Os02g44730,1.154397817,-0.600095637,-0.55430218,CM
LOC_Os02g45054,1.079183624,-0.18389246,-0.895291164,CM
LOC_Os02g45250,1.04029428,-0.086164584,-0.954129696,CM
LOC_Os02g45670,1.088955127,-0.21186285,-0.877092277,CM
LOC_Os02g46920,0.971467622,0.054810354,-1.026277976,CM
LOC_Os02g47120,0.974088372,0.04995105,-1.024039422,CM
LOC_Os02g47200,0.950860445,0.091930607,-1.042791052,CM
LOC_Os02g47310,0.934516823,0.120116026,-1.05463285,CM
LOC_Os02g47620,0.977241714,0.044060075,-1.021301788,CM
LOC_Os02g47800,0.950530165,0.09251067,-1.043040834,CM
LOC_Os02g49340,1.115132858,-0.298030243,-0.817102615,CM
LOC_Os02g49570,0.976092441,0.046212762,-1.022305203,CM
LOC_Os02g50640,1.080264584,-0.18690245,-0.893362134,CM
LOC_Os02g51480,1.150734528,-0.492557033,-0.658177495,CM
LOC_Os02g52010,1.050093086,-0.109139842,-0.940953243,CM
LOC_Os02g52210,1.134591333,-0.381481562,-0.75310977,CM
LOC_Os02g52420,0.954293039,0.085875325,-1.040168364,CM
LOC_Os02g53140,1.114953969,-0.297365019,-0.817588951,CM
LOC_Os02g55300,1.088417577,-0.210277085,-0.878140492,CM
LOC_Os02g55520,1.006122916,-0.012360421,-0.993762495,CM
LOC_Os02g55770,1.040373472,-0.086346583,-0.954026889,CM
LOC_Os02g56219,1.015393829,-0.031533572,-0.983860257,CM
LOC_Os02g56940,0.994343803,0.011218008,-1.005561812,CM
LOC_Os02g57190,0.977425243,0.043715704,-1.021140946,CM
LOC_Os02g58230,1.055544654,-0.122347719,-0.933196935,CM
LOC_Os02g58340,1.048642955,-0.105679669,-0.942963287,CM
LOC_Os03g01020,0.98369469,0.031849675,-1.015544364,CM
LOC_Os03g01930,0.931007267,0.12603597,-1.057043237,CM
LOC_Os03g02560,1.043952844,-0.094633651,-0.949319193,CM
LOC_Os03g02600,0.93683217,0.116185586,-1.053017756,CM
LOC_Os03g03450,1.020222232,-0.041752334,-0.978469898,CM
LOC_Os03g03990,0.932050863,0.12428033,-1.056331193,CM
LOC_Os03g05320,0.936127917,0.117383214,-1.053511131,CM
LOC_Os03g05800,0.98469743,0.029933037,-1.014630467,CM
LOC_Os03g06630,0.959852524,0.075962529,-1.035815054,CM
LOC_Os03g07440,0.933990779,0.121006242,-1.054997021,CM
LOC_Os03g07570,1.099296898,-0.243609648,-0.85568725,CM
LOC_Os03g07850,1.152028644,-0.644003308,-0.508025336,CM
LOC_Os03g08080,0.998532295,0.002928977,-1.001461271,CM
LOC_Os03g08570,1.012514585,-0.025517591,-0.986996995,CM
LOC_Os03g08860,0.934532814,0.12008895,-1.054621764,CM
LOC_Os03g10060,0.932440234,0.123624275,-1.056064509,CM
LOC_Os03g10850,1.149859828,-0.666400029,-0.483459799,CM
LOC_Os03g10880,1.111174585,-0.283616189,-0.827558396,CM
LOC_Os03g12260,1.121675305,-0.323385799,-0.798289506,CM
LOC_Os03g12910,1.092755746,-0.223246846,-0.869508899,CM
LOC_Os03g14669,0.934676185,0.119846139,-1.054522324,CM
LOC_Os03g14915,1.101203806,-0.249748727,-0.851455079,CM
LOC_Os03g15020,1.058628968,-0.129966852,-0.928662116,CM
LOC_Os03g15460,0.988526716,0.022564659,-1.011091375,CM
LOC_Os03g15740,1.007211051,-0.014581575,-0.992629476,CM
LOC_Os03g16430,1.12686986,-0.345207435,-0.781662425,CM
LOC_Os03g17480,1.154611697,-0.564901327,-0.589710369,CM
LOC_Os03g17580,0.940923807,0.109190399,-1.050114206,CM
LOC_Os03g17730,1.023462226,-0.048704328,-0.974757898,CM
LOC_Os03g18060,1.084033437,-0.197555354,-0.886478082,CM
LOC_Os03g18940,1.150223485,-0.663085888,-0.487137597,CM
LOC_Os03g20640,0.944363788,0.103259482,-1.04762327,CM
LOC_Os03g21890,0.946765722,0.09909072,-1.045856442,CM
LOC_Os03g22160,1.110558735,-0.281428183,-0.829130553,CM
LOC_Os03g24160,1.019573098,-0.040368799,-0.979204299,CM
LOC_Os03g25850,0.999464288,0.001070564,-1.000534852,CM
LOC_Os03g26820,1.024487111,-0.050919787,-0.973567324,CM
LOC_Os03g31026,1.002328662,-0.004673706,-0.997654956,CM
LOC_Os03g31230,1.146130987,-0.694670678,-0.451460309,CM
LOC_Os03g37640,0.948845151,0.09546308,-1.044308231,CM
LOC_Os03g38230,1.031412677,-0.066105497,-0.96530718,CM
LOC_Os03g40100,1.135024502,-0.383692952,-0.75133155,CM
LOC_Os03g43720,0.952032975,0.089867697,-1.041900672,CM
LOC_Os03g44300,0.960294562,0.075168633,-1.035463196,CM
LOC_Os03g44440,1.092894671,-0.223668886,-0.869225786,CM
LOC_Os03g45779,1.08464119,-0.199297102,-0.885344088,CM
LOC_Os03g46260,1.049213261,-0.107037893,-0.942175367,CM
LOC_Os03g48040,0.941542537,0.108127028,-1.049669565,CM
LOC_Os03g48270,1.101702593,-0.251370833,-0.85033176,CM
LOC_Os03g49440,0.970730011,0.056172097,-1.026902109,CM
LOC_Os03g50220,1.154617741,-0.565333709,-0.589284031,CM
LOC_Os03g53520,1.147399131,-0.685977904,-0.461421227,CM
LOC_Os03g53930,0.963352667,0.069652723,-1.03300539,CM
LOC_Os03g54040,1.154594678,-0.563756747,-0.590837931,CM
LOC_Os03g54100,1.141944558,-0.719201731,-0.422742827,CM
LOC_Os03g54130,0.982029801,0.035020367,-1.017050168,CM
LOC_Os03g55820,1.00122182,-0.002448134,-0.998773685,CM
LOC_Os03g56370,1.034393807,-0.07276233,-0.961631476,CM
LOC_Os03g56420,1.132143249,-0.369377069,-0.76276618,CM
LOC_Os03g56930,0.937397897,0.115222183,-1.052620079,CM
LOC_Os03g56950,1.13955587,-0.731206909,-0.408348961,CM
LOC_Os03g57545,0.946808189,0.099016808,-1.045824997,CM
LOC_Os03g57880,1.146142121,-0.451544604,-0.694597516,CM
LOC_Os03g58080,0.975908854,0.046556032,-1.022464887,CM
LOC_Os03g58230,1.001208839,-0.002422077,-0.998786761,CM
LOC_Os03g58480,1.092437907,-0.222282903,-0.870155004,CM
LOC_Os03g58580,0.979766383,0.039308055,-1.019074438,CM
LOC_Os03g59180,1.085925512,-0.203000498,-0.882925014,CM
LOC_Os03g59580,0.969336819,0.058737147,-1.028073966,CM
LOC_Os03g61120,1.154686407,-0.572395863,-0.582290544,CM
LOC_Os03g61260,1.119492361,-0.314689778,-0.804802583,CM
LOC_Os03g61890,0.953296423,0.087638461,-1.040934883,CM
LOC_Os03g62170,1.051841232,-0.113340301,-0.938500931,CM
LOC_Os03g62340,0.932302762,0.123855967,-1.056158728,CM
LOC_Os03g62510,1.071944154,-0.164217053,-0.907727101,CM
LOC_Os03g62610,0.96990042,0.057700582,-1.027601002,CM
LOC_Os03g62630,0.929657742,0.128300426,-1.057958168,CM
LOC_Os03g63490,1.102123943,-0.252746515,-0.849377428,CM
LOC_Os03g63870,1.00730724,-0.014778286,-0.992528955,CM
LOC_Os04g01540,0.962293448,0.071567931,-1.033861379,CM
LOC_Os04g10750,0.941741826,0.107784208,-1.049526034,CM
LOC_Os04g16760,1.055501238,-0.122241245,-0.933259993,CM
LOC_Os04g16764,1.149872179,-0.666289687,-0.483582492,CM
LOC_Os04g16775,1.029283882,-0.061396955,-0.967886927,CM
LOC_Os04g16842,0.988036628,0.023512088,-1.011548716,CM
LOC_Os04g20990,0.95991512,0.07585016,-1.03576528,CM
LOC_Os04g23890,1.065620076,-0.14766021,-0.917959866,CM
LOC_Os04g27250,0.977334434,0.043886117,-1.021220551,CM
LOC_Os04g31010,0.997416093,0.005147938,-1.002564031,CM
LOC_Os04g33080,1.107496114,-0.270747583,-0.836748531,CM
LOC_Os04g33280,1.040825198,-0.087385833,-0.953439365,CM
LOC_Os04g34460,1.069778799,-0.158485374,-0.911293425,CM
LOC_Os04g35570,0.926611619,0.13338773,-1.059999349,CM
LOC_Os04g35700,1.001173223,-0.002350591,-0.998822633,CM
LOC_Os04g36770,1.05506237,-0.121166145,-0.933896225,CM
LOC_Os04g37920,1.093773993,-0.226350199,-0.867423794,CM
LOC_Os04g38520,1.128524249,-0.352543529,-0.775980721,CM
LOC_Os04g39140,1.153084238,-0.629434037,-0.523650201,CM
LOC_Os04g39970,1.152562866,-0.637101903,-0.515460964,CM
LOC_Os04g41150,0.991381793,0.017019163,-1.008400956,CM
LOC_Os04g41570,1.045313983,-0.097817012,-0.947496971,CM
LOC_Os04g41850,1.077215074,-0.178460673,-0.898754401,CM
LOC_Os04g42590,0.935507893,0.11843607,-1.053943964,CM
LOC_Os04g44590,1.047891795,-0.103895794,-0.943996001,CM
LOC_Os04g45070,1.147573033,-0.462849144,-0.684723889,CM
LOC_Os04g45200,1.07053324,-0.160474762,-0.910058478,CM
LOC_Os04g46880,1.040712741,-0.087126936,-0.953585805,CM
LOC_Os04g47020,0.971974792,0.053872542,-1.025847334,CM
LOC_Os04g47290,1.12677187,-0.344779293,-0.781992578,CM
LOC_Os04g47590,0.983432072,0.032350772,-1.015782844,CM
LOC_Os04g48070,1.077429275,-0.179048656,-0.898380619,CM
LOC_Os04g48390,1.053057418,-0.116281763,-0.936775655,CM
LOC_Os04g49890,1.097673413,-0.238458213,-0.8592152,CM
LOC_Os04g50204,1.097568378,-0.238127236,-0.859441142,CM
LOC_Os04g51454,1.008095689,-0.016392934,-0.991702755,CM
LOC_Os04g51610,0.984537771,0.030238562,-1.014776333,CM
LOC_Os04g51660,1.124377781,-0.334524766,-0.789853016,CM
LOC_Os04g52900,1.154624447,-0.588792179,-0.565832268,CM
LOC_Os04g53170,1.135357761,-0.385409666,-0.749948095,CM
LOC_Os04g54230,1.148009313,-0.466505989,-0.681503324,CM
LOC_Os04g54300,1.094128206,-0.227435254,-0.866692952,CM
LOC_Os04g54790,0.984902391,0.029540624,-1.014443015,CM
LOC_Os04g55920,1.019958402,-0.041189649,-0.978768753,CM
LOC_Os04g56320,0.965400895,0.065934982,-1.031335877,CM
LOC_Os04g56710,1.135892374,-0.388192503,-0.74769987,CM
LOC_Os04g57310,1.03063257,-0.064375736,-0.966256834,CM
LOC_Os04g57590,0.977880778,0.042860221,-1.020740999,CM
LOC_Os04g58250,1.10925154,-0.276829504,-0.832422036,CM
LOC_Os04g58730,0.972756763,0.05242419,-1.025180952,CM
LOC_Os04g59000,1.147826914,-0.682863131,-0.464963783,CM
LOC_Os04g59540,1.117983041,-0.308820698,-0.809162343,CM
LOC_Os05g01140,0.977626522,0.043337834,-1.020964356,CM
LOC_Os05g02010,1.024695114,-0.051370397,-0.973324717,CM
LOC_Os05g02060,1.033190005,-0.070065261,-0.963124744,CM
LOC_Os05g02220,0.990784061,0.018183873,-1.008967934,CM
LOC_Os05g04070,1.007214213,-0.014588041,-0.992626172,CM
LOC_Os05g05140,1.041792514,-0.089617613,-0.952174901,CM
LOC_Os05g05830,0.946600008,0.099379067,-1.045979075,CM
LOC_Os05g06399,1.023998633,-0.049862865,-0.974135768,CM
LOC_Os05g06530,1.154606804,-0.564561887,-0.590044917,CM
LOC_Os05g09728,1.138497387,-0.736185134,-0.402312253,CM
LOC_Os05g10414,0.952854288,0.088419322,-1.04127361,CM
LOC_Os05g11064,1.023881141,-0.049608917,-0.974272223,CM
LOC_Os05g11090,0.9815715,0.035890663,-1.017462162,CM
LOC_Os05g11260,0.991978886,0.015853714,-1.0078326,CM
LOC_Os05g11320,0.926472407,0.133619441,-1.060091847,CM
LOC_Os05g13370,1.154552713,-0.561275573,-0.593277139,CM
LOC_Os05g14240,1.154590104,-0.563465082,-0.591125022,CM
LOC_Os05g15510,1.104808145,-0.261630583,-0.843177562,CM
LOC_Os05g20020,1.104924169,-0.26201943,-0.842904739,CM
LOC_Os05g22870,0.982570043,0.033993078,-1.016563122,CM
LOC_Os05g27100,1.056610888,-0.124969264,-0.931641624,CM
LOC_Os05g28090,0.97005819,0.057410147,-1.027468337,CM
LOC_Os05g28500,1.003609819,-0.00725916,-0.996350659,CM
LOC_Os05g29030,1.104481875,-0.260539306,-0.843942568,CM
LOC_Os05g30190,0.9572698,0.080584106,-1.037853906,CM
LOC_Os05g31140,0.973610338,0.050839865,-1.024450203,CM
LOC_Os05g31680,0.960996626,0.073905974,-1.0349026,CM
LOC_Os05g32390,0.967862937,0.061440883,-1.02930382,CM
LOC_Os05g33010,0.966381498,0.06414836,-1.030529858,CM
LOC_Os05g33510,0.990555282,0.018629135,-1.009184417,CM
LOC_Os05g33520,0.945702343,0.100939129,-1.046641472,CM
LOC_Os05g33840,0.949826762,0.093744549,-1.043571311,CM
LOC_Os05g34150,1.154593243,-0.563664567,-0.590928676,CM
LOC_Os05g34160,1.154604197,-0.564384602,-0.590219595,CM
LOC_Os05g34170,1.053771309,-0.118015844,-0.935755465,CM
LOC_Os05g34630,0.951822417,0.090238564,-1.042060981,CM
LOC_Os05g34650,0.974056251,0.050010807,-1.024067058,CM
LOC_Os05g35540,0.946710698,0.099186475,-1.045897173,CM
LOC_Os05g36994,0.956000529,0.082844849,-1.038845378,CM
LOC_Os05g37930,1.105515845,-0.264008832,-0.841507013,CM
LOC_Os05g40260,0.944745219,0.102599002,-1.047344221,CM
LOC_Os05g40270,1.101201735,-0.249742005,-0.851459729,CM
LOC_Os05g41030,1.029842186,-0.062628263,-0.967213923,CM
LOC_Os05g41610,1.021153451,-0.04374247,-0.977410981,CM
LOC_Os05g41630,1.154558223,-0.592978851,-0.561579372,CM
LOC_Os05g45710,1.055290411,-0.12172451,-0.933565901,CM
LOC_Os05g45770,1.010837003,-0.022038304,-0.988798699,CM
LOC_Os05g46030,1.154488412,-0.596411372,-0.55807704,CM
LOC_Os05g46360,1.033280789,-0.070268231,-0.963012558,CM
LOC_Os05g48160,0.938679908,0.113034515,-1.051714423,CM
LOC_Os05g48360,1.056516732,-0.124737244,-0.931779488,CM
LOC_Os05g48760,1.019590976,-0.040406863,-0.979184113,CM
LOC_Os05g48790,1.127314775,-0.780154613,-0.347160162,CM
LOC_Os05g48800,1.021281224,-0.044016034,-0.97726519,CM
LOC_Os05g49610,0.936343808,0.117016275,-1.053360083,CM
LOC_Os05g50310,1.131182604,-0.766388309,-0.364794295,CM
LOC_Os05g50550,0.941579905,0.108062759,-1.049642664,CM
LOC_Os05g50610,1.150816463,-0.493456407,-0.657360056,CM
LOC_Os05g51470,1.153016713,-0.63049303,-0.522523683,CM
LOC_Os06g02120,1.121757342,-0.323717653,-0.79803969,CM
LOC_Os06g02580,0.945125284,0.101940316,-1.0470656,CM
LOC_Os06g03770,1.058456045,-0.129536766,-0.928919279,CM
LOC_Os06g03980,1.137048437,-0.394338571,-0.742709865,CM
LOC_Os06g04510,0.977618343,0.043353192,-1.020971535,CM
LOC_Os06g06190,0.954254085,0.085944317,-1.040198402,CM
LOC_Os06g08041,0.974748686,0.048721497,-1.023470183,CM
LOC_Os06g08530,0.989967724,0.019771351,-1.009739075,CM
LOC_Os06g09890,1.128507443,-0.352467951,-0.776039493,CM
LOC_Os06g11040,1.046194355,-0.099885613,-0.946308742,CM
LOC_Os06g12129,1.1544729,-0.597091986,-0.557380914,CM
LOC_Os06g12170,0.995293544,0.00934738,-1.004640924,CM
LOC_Os06g12370,1.154588723,-0.563378146,-0.591210577,CM
LOC_Os06g21380,0.970195413,0.057157441,-1.027352854,CM
LOC_Os06g24730,1.044703572,-0.096387192,-0.94831638,CM
LOC_Os06g27680,1.152149177,-0.642514072,-0.509635105,CM
LOC_Os06g28524,1.084022898,-0.197525213,-0.886497685,CM
LOC_Os06g33320,1.151662249,-0.648326289,-0.503335959,CM
LOC_Os06g36450,1.140208094,-0.412166947,-0.728041147,CM
LOC_Os06g37450,0.951813345,0.090254539,-1.042067884,CM
LOC_Os06g37560,1.154585753,-0.563193085,-0.591392668,CM
LOC_Os06g39700,1.088270819,-0.209845163,-0.878425656,CM
LOC_Os06g39748,0.928912668,0.129547825,-1.058460493,CM
LOC_Os06g39752,1.143607759,-0.433525286,-0.710082473,CM
LOC_Os06g39900,1.040980526,-0.087743618,-0.953236908,CM
LOC_Os06g39906,0.92918108,0.129098681,-1.05827976,CM
LOC_Os06g40210,1.071839964,-0.163939717,-0.907900248,CM
LOC_Os06g40500,1.154692237,-0.573554233,-0.581138004,CM
LOC_Os06g40818,1.142744914,-0.427843551,-0.714901363,CM
LOC_Os06g41120,0.967942507,0.061295174,-1.029237681,CM
LOC_Os06g42060,0.938003404,0.114189699,-1.052193103,CM
LOC_Os06g42800,0.933118715,0.122479773,-1.055598488,CM
LOC_Os06g43270,1.126715442,-0.782182389,-0.344533053,CM
LOC_Os06g43800,0.953058072,0.088059517,-1.041117589,CM
LOC_Os06g46435,1.058574807,-0.129832107,-0.9287427,CM
LOC_Os06g46438,1.020772198,-0.042926914,-0.977845284,CM
LOC_Os06g46460,0.955709234,0.083362716,-1.03907195,CM
LOC_Os06g46670,1.146958982,-0.457877504,-0.689081478,CM
LOC_Os06g47330,1.146410315,-0.692819296,-0.45359102,CM
LOC_Os06g47940,0.982230165,0.034639545,-1.016869709,CM
LOC_Os06g48180,1.140857261,-0.724809757,-0.416047505,CM
LOC_Os06g49120,1.070267851,-0.159774037,-0.910493814,CM
LOC_Os06g50230,1.076655267,-0.176927473,-0.899727795,CM
LOC_Os06g51240,0.96830152,0.060637387,-1.028938907,CM
LOC_Os06g51260,0.964543026,0.067494404,-1.03203743,CM
LOC_Os06g51290,0.954494322,0.085518725,-1.040013047,CM
LOC_Os07g01030,1.036686439,-0.077933273,-0.958753166,CM
LOC_Os07g01060,1.142809422,-0.428261536,-0.714547886,CM
LOC_Os07g01760,0.986510007,0.026455015,-1.012965023,CM
LOC_Os07g08150,0.995266501,0.009400716,-1.004667218,CM
LOC_Os07g08160,0.936102461,0.117426469,-1.05352893,CM
LOC_Os07g08970,1.069938882,-0.158906825,-0.911032057,CM
LOC_Os07g09340,1.057528154,-0.127234935,-0.930293219,CM
LOC_Os07g09370,1.064678749,-0.145242007,-0.919436741,CM
LOC_Os07g09800,0.995153455,0.009623627,-1.004777083,CM
LOC_Os07g10490,0.987543483,0.024464113,-1.012007597,CM
LOC_Os07g10540,1.141307964,-0.41879188,-0.722516085,CM
LOC_Os07g12530,0.943953002,0.103970153,-1.047923155,CM
LOC_Os07g13234,1.03080048,-0.064747627,-0.966052853,CM
LOC_Os07g18180,1.020986738,-0.043385714,-0.977601024,CM
LOC_Os07g18720,1.145321153,-0.699859603,-0.44546155,CM
LOC_Os07g23120,0.950563565,0.092452031,-1.043015595,CM
LOC_Os07g23520,1.153763989,-0.536614226,-0.617149763,CM
LOC_Os07g24230,0.972927231,0.052108062,-1.025035293,CM
LOC_Os07g28610,0.932517982,0.123493211,-1.056011193,CM
LOC_Os07g29640,1.137944019,-0.399229389,-0.73871463,CM
LOC_Os07g33270,1.039948189,-0.085369879,-0.954578309,CM
