GENEID	M	BS	V	TFcluster	Family
LOC_Os09g01960	-1.075352678	0.173379119	0.901973558	TFBS&V	MYB
LOC_Os09g13570	-1.013796597	0.028189259	0.985607338	TFBS&V	bZIP
LOC_Os10g22600	-1.153791286	0.616572476	0.53721881	TFBS&V	ERF
LOC_Os10g41260	-0.966444421	-0.064033567	1.030477988	TFBS&V	MYB_related
LOC_Os11g47460	-1.049576074	0.107903702	0.941672372	TFBS&V	MYB
LOC_Os12g39640	-1.153902385	0.539776412	0.614125973	TFBS&V	G2-like
LOC_Os01g09280	0.506342414	-1.151899764	0.64555735	TFM&V	MYB_related
LOC_Os03g09100	0.073957886	-1.034925672	0.960967786	TFM&V	CAMTA
LOC_Os03g50900	0.508934644	-1.15209706	0.643162415	TFM&V	FAR1
LOC_Os03g52450	1.118545267	-0.807551438	-0.310993829	TFM&V	GATA
LOC_Os06g02560	0.304012012	-1.116724889	0.812712876	TFM&V	GRF
LOC_Os06g48534	1.08809558	-0.878765591	-0.209329989	TFM&V	GATA
LOC_Os07g12510	1.097281324	-0.860057218	-0.237224106	TFM&V	ERF
LOC_Os08g06110	0.964191792	-1.032323704	0.068131912	TFM&V	MYB_related
LOC_Os08g39630	0.535879145	-1.153730268	0.617851124	TFM&V	bHLH
LOC_Os09g24820	0.505140681	-1.151805943	0.646665262	TFM&V	ZF-HD
LOC_Os10g41200	0.968016782	-1.029175918	0.061159136	TFM&V	MYB_related
LOC_Os01g38610	1.044787043	-0.096582499	-0.948204544	TFM	bHLH
LOC_Os01g65080	1.145559114	-0.447197964	-0.698361151	TFM	C2H2
LOC_Os01g65900	1.068800794	-0.155918366	-0.912882427	TFM	GRAS
LOC_Os01g68860	1.14377851	-0.434673952	-0.709104559	TFM	C3H
LOC_Os02g01380	1.142600874	-0.426914038	-0.715686836	TFM	Trihelix
LOC_Os02g29550	0.970718963	0.056192474	-1.026911437	TFM	ERF
LOC_Os02g39360	0.95656031	0.081848651	-1.038408961	TFM	DBB
LOC_Os02g39710	0.927759238	0.131474979	-1.059234217	TFM	CO-like
LOC_Os02g45054	1.079183624	-0.18389246	-0.895291164	TFM	C2H2
LOC_Os02g45250	1.04029428	-0.086164584	-0.954129696	TFM	HD-ZIP
LOC_Os02g45670	1.088955127	-0.21186285	-0.877092277	TFM	MYB_related
LOC_Os03g06630	0.959852524	0.075962529	-1.035815054	TFM	HSF
LOC_Os03g14669	0.934676185	0.119846139	-1.054522324	TFM	NF-YC
LOC_Os03g31230	1.146130987	-0.694670678	-0.451460309	TFM	MYB_related
LOC_Os03g56950	1.13955587	-0.731206909	-0.408348961	TFM	bHLH
LOC_Os04g41850	1.077215074	-0.178460673	-0.898754401	TFM	Nin-like
LOC_Os04g48070	1.077429275	-0.179048656	-0.898380619	TFM	HD-ZIP
LOC_Os05g50310	1.131182604	-0.766388309	-0.364794295	TFM	ZF-HD
LOC_Os05g50610	1.150816463	-0.493456407	-0.657360056	TFM	WRKY
LOC_Os06g37450	0.951813345	0.090254539	-1.042067884	TFM	GATA
LOC_Os06g39906	0.92918108	0.129098681	-1.05827976	TFM	HB-other
LOC_Os06g51260	0.964543026	0.067494404	-1.03203743	TFM	MYB_related
LOC_Os08g06280	1.060921811	-0.135703152	-0.925218659	TFM	LSD
LOC_Os08g10080	1.107724781	-0.271533936	-0.836190846	TFM	NAC
LOC_Os08g19650	1.152732555	-0.518007542	-0.634725013	TFM	TALE
LOC_Os08g31580	1.143965978	-0.708021148	-0.43594483	TFM	ERF
LOC_Os08g39830	1.154585809	-0.563196575	-0.591389234	TFM	EIL
LOC_Os09g06464	0.989440873	0.020793937	-1.01023481	TFM	CO-like
LOC_Os09g11480	1.149435505	-0.670103888	-0.479331617	TFM	ERF
LOC_Os09g28310	1.133329609	-0.375162853	-0.758166756	TFM	bZIP
LOC_Os09g29460	0.930547185	0.126808709	-1.057355894	TFM	HD-ZIP
LOC_Os09g35880	1.152616984	-0.516262128	-0.636354856	TFM	DBB
LOC_Os10g22950	1.062283573	-0.139140245	-0.923143328	TFM	CAMTA
LOC_Os11g11100	1.109223502	-0.276731532	-0.83249197	TFM	bZIP
LOC_Os01g13540	0.784232737	0.341868823	-1.12610156	TFBS&M	Nin-like
LOC_Os01g13740	0.642235453	0.509935953	-1.152171405	TFBS&M	G2-like
LOC_Os01g34060	0.749101263	0.386458878	-1.135560141	TFBS&M	MYB_related
LOC_Os01g39110	0.5266893	0.626570394	-1.153259694	TFBS&M	C2H2
LOC_Os01g62460	0.690207947	0.456587827	-1.146795774	TFBS&M	GRAS
LOC_Os02g08150	0.848101856	0.254581839	-1.102683694	TFBS&M	CO-like
LOC_Os02g12790	0.905351453	0.168012649	-1.073364102	TFBS&M	GATA
LOC_Os02g49440	0.836104512	0.271655605	-1.107760117	TFBS&M	Dof
LOC_Os02g49880	0.525179127	0.627994606	-1.153173733	TFBS&M	CO-like
LOC_Os02g56250	0.60384546	0.550443386	-1.154288846	TFBS&M	GATA
LOC_Os03g41330	0.36042643	0.769823412	-1.130249841	TFBS&M	LBD
LOC_Os03g50310	0.769400299	0.360965584	-1.130365882	TFBS&M	CO-like
LOC_Os04g41560	0.783840455	0.34237917	-1.126219625	TFBS&M	DBB
LOC_Os04g42020	0.808130307	0.310213542	-1.118343849	TFBS&M	CO-like
LOC_Os04g47860	0.802478211	0.317802994	-1.120281205	TFBS&M	C2H2
LOC_Os05g37080	0.46059415	0.686703346	-1.147297496	TFBS&M	NAC
LOC_Os05g45954	0.759004607	0.374111659	-1.133116266	TFBS&M	AP2
LOC_Os06g15330	0.869359977	0.223468873	-1.092828849	TFBS&M	CO-like
LOC_Os06g24070	0.825409735	0.286597697	-1.112007432	TFBS&M	G2-like
LOC_Os06g44450	0.730337423	0.409399191	-1.139736614	TFBS&M	CO-like
LOC_Os06g49040	0.839025343	0.267529799	-1.106555141	TFBS&M	G2-like
LOC_Os08g04390	0.7021751	0.442771756	-1.144946855	TFBS&M	bHLH
LOC_Os08g04840	0.78317941	0.343238513	-1.126417922	TFBS&M	MYB_related
LOC_Os08g44050	0.764721194	0.366906459	-1.131627653	TFBS&M	C2H2
LOC_Os09g38340	0.55425597	0.60014064	-1.15439661	TFBS&M	C2H2
LOC_Os10g40740	0.504634505	0.647131474	-1.151765979	TFBS&M	bHLH
LOC_Os10g41460	0.858685372	0.239233842	-1.097919214	TFBS&M	Trihelix
LOC_Os11g28270	0.592092705	0.562481266	-1.154573971	TFBS&M	C3H
